-31340729966.49,-148357437865.10,151631694327.84,5.67	-214550799637.54,-23536851739.85,215837969354.17,2.10
-28855335433.75,-148885654536.14,151656086292.80,5.69	-214134706512.04,-25687472682.59,215669930184.57,2.11
-26360935407.39,-149371649103.87,151679888157.80,5.71	-213690629404.48,-27869173537.21,215500292178.29,2.12
-23884365493.19,-149810857474.68,151702854067.78,5.72	-213233708553.89,-30007820053.20,215334817732.73,2.13
-21374210077.92,-150212378017.30,151725460507.02,5.74	-212748278060.60,-32176977648.66,215167812900.43,2.14
-18857228389.80,-150571229831.13,151747455713.12,5.76	-212250882325.02,-34302939977.11,215004950498.40,2.15
-16334155108.17,-150887289190.42,151768832974.14,5.77	-211724462126.09,-36458837839.76,214840626323.81,2.16
-13805727395.59,-151160445344.28,151789585761.35,5.79	-211177512789.03,-38607780918.28,214677671533.85,2.17
-11299091773.23,-151388425054.55,151809501400.27,5.81	-210610130313.66,-40749591237.07,214516097710.00,2.18
-8762211940.36,-151575943925.75,151828993064.80,5.82	-210022411836.67,-42884092230.26,214355916270.36,2.19
-6222193906.24,-151720306414.99,151847841853.83,5.84	-209414455611.50,-45011108739.34,214197138470.63,2.20
-3706275578.33,-151820623336.81,151865855770.94,5.86	-208786360988.53,-47130467010.43,214039775405.07,2.21
-1162229724.97,-151878961700.07,151883408524.52,5.87	-208138228395.53,-49241994691.38,213883838007.50,2.22
1356212482.54,-151894074700.38,151900129168.42,5.89	-207470159318.50,-51345520828.59,213729337052.27,2.23
3901329628.02,-151866261732.81,151916364574.61,5.91	-206770426574.45,-53476318959.09,213573701553.34,2.24
6445866994.89,-151795132481.35,151931930305.47,5.92	-206062459610.27,-55563191940.33,213422129966.02,2.25
8962593683.26,-151682109768.80,151946669951.81,5.94	-205322367996.12,-57676708277.80,213269494952.50,2.26
11503751317.76,-151524834851.61,151960889281.38,5.96	-204574928505.91,-59746249723.23,213120894633.04,2.27
14015667515.75,-151326617654.34,151974287781.24,5.97	-203794914697.84,-61841800162.49,212971302066.82,2.28
16550483295.77,-151083332169.71,151987143393.20,5.99	-202994940185.04,-63928036386.29,212823259013.05,2.29
19054659540.78,-150800106148.98,151999184421.36,6.01	-202175119010.78,-66004788870.14,212676775649.84,2.30
21553897053.72,-150474699602.30,152010544695.44,6.02	-201335566196.18,-68071889550.14,212531861993.59,2.31
24073689334.88,-150103104929.30,152021329515.33,6.04	-200476397722.42,-70129171817.56,212388527900.11,2.32
26560813786.96,-149693161763.91,152031310945.81,6.06	-199597730513.09,-72176470513.44,212246783065.74,2.33
29066895467.24,-149236352271.87,152040696037.33,6.07	-198699682417.07,-74213621922.85,212106637028.52,2.34
31539000986.57,-148742317187.55,152049286435.52,6.09	-197782372191.58,-76240463769.10,211968099169.32,2.35
34028443326.51,-148200794414.40,152057260334.01,6.11	-196830150446.47,-78290351780.89,211828910460.20,2.37
36482640289.84,-147623215209.33,152064449202.49,6.12	-195874359778.36,-80295914887.48,211693643660.36,2.38
38926859888.89,-147004318440.37,152070937594.69,6.14	-194883266331.57,-82323841447.01,211557799115.64,2.39
41385951831.89,-146337111567.66,152076780709.60,6.16	-193889488926.38,-84307483333.06,211425839627.25,2.40
43807974817.92,-145635682364.80,152081855050.20,6.17	-192860029230.61,-86312801144.18,211293375466.88,2.41
46217901174.31,-144893495485.79,152086223646.48,6.19	-191811421686.60,-88306479448.37,211162628800.65,2.42
48640196178.17,-144102307640.04,152089919953.42,6.21	-190743797352.46,-90288358200.72,211033608354.25,2.43
51023695864.10,-143278827123.82,152092865847.18,6.22	-189657288124.42,-92258278837.70,210906322695.18,2.44
53393011680.58,-142415260971.39,152095102662.35,6.24	-188552026721.79,-94216084269.70,210780780233.89,2.45
55772160620.59,-141502136426.14,152096642018.98,6.26	-187428146672.25,-96161618873.50,210656989225.06,2.46
58110890430.70,-140558739074.26,152097451381.65,6.27	-186285782297.55,-98094728484.58,210534957768.72,2.47
60433387432.20,-139576038357.77,152097550276.73,6.29	-185125068699.51,-100015260389.50,210414693811.48,2.48
62763157688.17,-138543356691.53,152096928457.96,6.31	-183946141746.40,-101923063318.04,210296205147.69,2.49
65050992564.06,-137482506604.57,152095599067.97,6.32	-182749138059.68,-103817987435.45,210179499420.62,2.50
67320590141.48,-136383243351.10,152093559771.49,6.34	-181514129219.44,-105730625747.39,210062715223.87,2.51
69594884300.24,-135233712435.71,152090778484.13,6.36	-180281094208.57,-107599131253.39,209949627233.60,2.53
71825839063.47,-134058196018.07,152087313990.32,6.37	-179009749452.99,-109484615647.48,209836535099.82,2.54
74036602483.14,-132845261878.43,152083142099.30,6.39	-177741247511.77,-111326110739.15,209727094099.33,2.55
76249476575.25,-131581909726.92,152078208976.12,6.41	-176434143417.67,-113183845558.43,209617723150.79,2.56
78417723802.65,-130294827250.29,152072618885.09,6.42	-175109234672.39,-115027370663.37,209510238578.64,2.57
80586353353.08,-128957302344.13,152066255871.00,6.44	-173766669943.46,-116856539128.58,209404647322.71,2.58
82709563094.79,-127597590208.79,152059254418.86,6.46	-172428673354.74,-118642052503.24,209302613497.91,2.59
84809450429.77,-126202346295.44,152051554062.02,6.47	-171051524212.16,-120442310119.71,209200798283.07,2.60
86907135587.51,-124756736941.10,152043065044.80,6.49	-169657166825.90,-122227781352.96,209100896195.73,2.61
88958316394.71,-123291301397.66,152033966784.10,6.51	-168245752599.80,-123998325055.39,209002913578.77,2.62
91005574596.83,-121775627360.94,152024070550.85,6.52	-166817433598.69,-125753801508.12,208906856628.01,2.63
93005674221.04,-120241734600.54,152013585501.62,6.54	-165348918508.56,-127522015938.91,208811229106.75,2.64
94979502466.38,-118674463907.24,152002415350.65,6.56	-163886982287.48,-129246695834.74,208719072792.82,2.65
96946845833.72,-117057257122.02,151990435100.50,6.57	-162408603846.23,-130955895636.82,208628859953.08,2.67
98866158062.56,-115424279313.04,151977897948.96,6.59	-160913937810.67,-132649481277.90,208540596203.79,2.68
100777286683.51,-113741641752.46,151964543824.65,6.61	-159378640366.21,-134354252229.02,208452910982.31,2.69
102639874048.54,-112044891884.50,151950654957.82,6.62	-157851609070.61,-136015955714.60,208368593351.15,2.70
104492591548.80,-110298817570.41,151935943232.71,6.64	-156283746838.70,-137688060569.99,208284928762.18,2.71
106296316590.63,-108540306398.06,151920719566.88,6.66	-154724986250.07,-139317353828.04,208204578354.40,2.72
108088500105.03,-106732864436.22,151904668149.84,6.67	-153125207924.22,-140956261665.46,208124955266.15,2.73
109849480411.60,-104895382196.04,151887950650.31,6.69	-151535358840.26,-142552627744.90,208048592054.41,2.74
111560902252.25,-103048007275.25,151870756614.75,6.71	-149904317965.06,-144157818874.88,207973030192.21,2.75
113258302708.54,-101152401247.13,151852729348.15,6.72	-148257769968.21,-145745823334.39,207899522306.73,2.76
114905843192.43,-99248610162.78,151834249821.99,6.74	-146622380767.29,-147291717646.43,207829190993.71,2.77
116537736220.17,-97297124439.68,151814934665.71,6.76	-144945562053.63,-148845244645.96,207759771882.71,2.79
118136001965.66,-95318420452.14,151794980937.85,6.77	-143253738746.22,-150381207803.22,207692419999.20,2.80
119700184861.56,-93313089348.61,151774394743.22,6.79	-141547080409.72,-151899483493.93,207627139503.10,2.81
121214085668.40,-91303022036.13,151753406542.84,6.81	-139825757184.74,-153399949470.44,207563934414.96,2.82
122709145819.37,-89246502314.99,151731580902.53,6.82	-138089939783.09,-154882484854.06,207502808616.81,2.83
124168826001.12,-87165167727.87,151709142161.98,6.84	-136339799483.38,-156346970127.60,207443765852.93,2.84
125592714439.96,-85059638798.56,151686097164.30,6.86	-134575508126.92,-157793287127.97,207386809730.68,2.85
126980410642.50,-82930542879.18,151662452931.41,6.87	-132797238113.91,-159221319039.04,207331943721.21,2.86
128331525508.06,-80778513931.86,151638216661.45,6.89	-131005162399.82,-160630950384.63,207279171160.23,2.87
129632184062.50,-78626954185.76,151613657265.24,6.91	-129199454492.19,-162022067021.64,207228495248.71,2.88
130909405704.54,-76431208534.84,151588265179.11,6.92	-127380288447.60,-163394556133.43,207179919053.54,2.90
132148951747.40,-74214462366.66,151562303599.24,6.94	-125547838868.91,-164748306223.32,207133445508.22,2.91
133350479568.17,-71977373807.57,151535780399.53,6.96	-123702280902.83,-166083207108.35,207089077413.46,2.92
134525571924.36,-69696997280.25,151508418681.80,6.97	-121814187070.18,-167419884460.40,207046163655.12,2.93
135649678625.97,-67421025593.84,151480790872.81,6.99	-119942738873.96,-168716458121.56,207006047857.72,2.94
136734807737.74,-65126725007.17,151452626115.35,7.01	-118058713782.59,-169993858174.65,206968045159.40,2.95
137780664783.06,-62814774311.01,151423932916.18,7.02	-116162289106.82,-171251979653.03,206932157833.47,2.96
138786967477.48,-60485856873.89,151394719932.25,7.04	-114223249145.82,-172510224576.98,206897869078.03,2.97
139753445793.84,-58140660410.89,151364995967.58,7.06	-112302369649.69,-173729169042.79,206866252456.10,2.98
140689280171.68,-55755205676.55,151334452505.90,7.07	-110369628552.53,-174928526130.27,206836757277.16,2.99
141574927651.26,-53379379087.72,151303728477.68,7.09	-108394248235.03,-176126761659.41,206808967946.43,3.01
